id,female,ses,schtyp,prog,read,write,math,science,socst,honors,awards,cid
112,female,middle,public,academic,52,59,48,55,61,not enrolled,2,11
113,male,middle,public,academic,44,52,51,63,61,not enrolled,1,11
114,male,high,public,academic,68,65,62,55,61,enrolled,5,18
115,male,low,public,general,42,49,43,50,56,not enrolled,0,6
116,female,middle,public,academic,57,59,54,50,56,not enrolled,2,12
117,male,high,public,vocation,34,49,39,42,56,not enrolled,0,2
118,female,middle,public,general,55,62,58,58,61,enrolled,3,15
119,female,low,public,general,42,57,45,50,43,not enrolled,2,7
120,female,high,public,academic,63,52,54,50,51,not enrolled,1,12
121,female,middle,public,vocation,68,59,53,63,61,not enrolled,2,17
122,female,middle,public,academic,52,59,58,53,66,not enrolled,2,12
123,male,high,public,general,68,59,56,63,66,not enrolled,2,18
124,female,low,public,vocation,42,54,41,42,41,not enrolled,1,5
125,female,low,public,academic,68,65,58,59,56,enrolled,5,18
126,male,middle,public,general,42,31,57,47,51,not enrolled,0,4
127,male,high,public,academic,63,59,57,55,56,not enrolled,2,15
128,male,high,public,academic,39,33,38,47,41,not enrolled,0,2
129,female,low,public,general,44,44,46,47,51,not enrolled,0,6
130,female,high,public,general,43,54,55,55,46,not enrolled,1,10
131,female,high,public,academic,65,59,57,46,66,not enrolled,2,14
132,male,middle,public,academic,73,62,73,69,66,enrolled,3,20
133,male,middle,public,vocation,50,31,40,34,31,not enrolled,0,1
134,male,low,public,general,44,44,39,34,46,not enrolled,0,2
135,female,low,public,academic,63,60,65,54,66,enrolled,2,17
136,male,middle,public,academic,65,59,70,63,51,not enrolled,2,19
137,female,high,public,academic,63,65,65,53,61,enrolled,5,17
138,female,middle,public,vocation,43,57,40,50,51,not enrolled,2,7
139,female,middle,public,academic,68,59,61,55,71,not enrolled,2,17
140,male,middle,public,vocation,44,41,40,50,26,not enrolled,0,4
141,male,high,public,vocation,63,44,47,53,56,not enrolled,0,10
142,female,middle,public,vocation,47,42,52,39,51,not enrolled,0,5
143,male,middle,public,vocation,63,63,75,72,66,enrolled,4,20
144,male,high,public,general,60,65,58,61,66,enrolled,5,17
145,female,middle,public,vocation,42,46,38,36,46,not enrolled,0,2
146,male,high,public,academic,55,62,64,63,66,enrolled,3,17
147,female,low,public,academic,47,62,53,53,61,enrolled,3,11
148,female,middle,public,vocation,42,57,51,47,61,not enrolled,2,8
149,male,low,public,general,63,49,49,66,46,not enrolled,0,14
150,male,middle,public,vocation,42,41,57,72,31,not enrolled,0,11
151,female,middle,public,vocation,47,46,52,48,46,not enrolled,0,7
152,female,high,public,academic,55,57,56,58,61,not enrolled,2,13
153,male,middle,public,vocation,39,31,40,39,51,not enrolled,0,1
154,male,high,public,academic,65,65,66,61,66,enrolled,5,19
155,male,middle,public,general,44,44,46,39,51,not enrolled,0,3
156,female,middle,public,academic,50,59,53,61,61,not enrolled,2,13
157,male,middle,public,general,68,59,58,74,66,not enrolled,2,19
158,female,middle,public,general,52,54,55,53,51,not enrolled,1,11
159,male,high,public,academic,55,61,54,49,61,enrolled,3,12
160,female,middle,public,academic,55,65,55,50,61,enrolled,5,13
161,female,low,public,academic,57,62,72,61,61,enrolled,3,18
162,female,middle,public,vocation,57,52,40,61,56,not enrolled,1,11
163,female,low,public,academic,52,57,64,58,56,not enrolled,2,15
164,male,middle,public,vocation,31,36,46,39,46,not enrolled,0,1
165,male,low,public,vocation,36,49,54,61,36,not enrolled,0,8
166,female,middle,public,academic,52,59,53,61,51,not enrolled,2,13
167,male,middle,public,general,63,49,35,66,41,not enrolled,0,11
168,male,middle,public,academic,52,54,57,55,51,not enrolled,1,12
169,male,low,public,general,55,59,63,69,46,not enrolled,2,18
170,male,high,public,academic,47,62,61,69,66,enrolled,3,16
171,male,middle,public,academic,60,54,60,55,66,not enrolled,1,14
172,male,middle,public,academic,47,52,57,53,61,not enrolled,1,10
173,female,low,public,general,50,62,61,63,51,enrolled,3,16
174,male,middle,private,academic,68,59,71,66,56,not enrolled,2,20
175,female,high,private,general,36,57,42,50,41,not enrolled,2,6
176,male,middle,private,academic,47,47,41,42,51,not enrolled,0,4
177,male,middle,private,academic,55,59,62,58,51,not enrolled,2,15
178,male,middle,private,vocation,47,57,57,58,46,not enrolled,2,12
179,female,middle,private,academic,47,65,60,50,56,enrolled,5,13
180,female,high,private,academic,71,65,69,58,71,enrolled,5,20
181,male,middle,private,academic,50,46,45,58,61,not enrolled,0,8
182,female,middle,private,academic,44,52,43,44,51,not enrolled,1,6
183,male,middle,private,academic,63,59,49,55,71,not enrolled,2,13
184,female,middle,private,vocation,50,52,53,55,56,not enrolled,1,10
185,male,middle,private,academic,63,57,55,58,41,not enrolled,2,15
186,female,middle,private,academic,57,62,63,55,41,enrolled,3,16
187,female,middle,private,general,57,41,57,55,52,not enrolled,0,10
188,female,high,private,academic,63,62,56,55,61,enrolled,3,16
189,male,middle,private,academic,47,59,63,53,46,not enrolled,2,13
190,female,middle,private,academic,47,59,54,58,46,not enrolled,2,12
191,female,high,private,academic,47,52,43,48,61,not enrolled,1,7
192,male,high,private,academic,65,67,63,66,71,enrolled,7,19
193,female,middle,private,academic,44,49,48,39,51,not enrolled,0,5
194,female,high,private,academic,63,63,69,61,61,enrolled,4,19
195,male,middle,private,general,57,57,60,58,56,not enrolled,2,15
196,male,high,private,academic,44,38,49,39,46,not enrolled,0,3
197,male,high,private,academic,50,42,50,36,61,not enrolled,0,5
198,female,high,private,academic,47,61,51,63,31,enrolled,3,13
199,male,high,private,academic,52,59,50,61,61,not enrolled,2,13
200,male,middle,private,academic,68,54,75,66,66,not enrolled,1,19
