"gender","party","ideol"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","SC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"F","R","VC"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","VL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","SL"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","M"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","SC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","D","VC"
"M","R","VL"
"M","R","VL"
"M","R","VL"
"M","R","VL"
"M","R","VL"
"M","R","VL"
"M","R","VL"
"M","R","VL"
"M","R","VL"
"M","R","VL"
"M","R","VL"
"M","R","VL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","SL"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","M"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","SC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
"M","R","VC"
